0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:19:38 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:19:40 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:21:39 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:21:41 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:21:56 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:22:00 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:22:01 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 6884
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:22:09 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:22:11 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:22:13 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:22:16 +0530] "GET /Online-Retail-Web-app/addtolist/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:22:16 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:22:35 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:22:50 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9558
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:12 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9578
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:17 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10758
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:18 +0530] "GET /Online-Retail-Web-app/auth HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:25 +0530] "POST /Online-Retail-Web-app/checking HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:25 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:27 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:31 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7134
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:38 +0530] "GET /Online-Retail-Web-app/removeitem/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:40 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7134
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:41 +0530] "GET /Online-Retail-Web-app/removeitem/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:37:43 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7134
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:38:00 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7136
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:38:35 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7174
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:39:35 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7258
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:39:52 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7268
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:40:05 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7280
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:43:32 +0530] "GET /Online-Retail-Web-app/removeitem/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:43:34 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7280
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:43:45 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:43:49 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:43:50 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:43:54 +0530] "GET /Online-Retail-Web-app/detail/1 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:43:59 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:07 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:07 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10758
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:09 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9578
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:10 +0530] "GET /Online-Retail-Web-app/auth HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:17 +0530] "POST /Online-Retail-Web-app/checking HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:17 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:22 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:24 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:29 +0530] "GET /Online-Retail-Web-app/detail/1 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:56 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:48:57 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:49:00 +0530] "GET /Online-Retail-Web-app/Adetail/1 HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:49:59 +0530] "GET /Online-Retail-Web-app/Adetail/1? HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:56:45 +0530] "GET /Online-Retail-Web-app/Adetail/1? HTTP/1.1" 200 5613
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:56:52 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:56:55 +0530] "GET /Online-Retail-Web-app/Adetail/1 HTTP/1.1" 200 5613
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:56:59 +0530] "GET /Online-Retail-Web-app/Adetail/1? HTTP/1.1" 200 5613
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:58:24 +0530] "GET /Online-Retail-Web-app/Adetail/1? HTTP/1.1" 200 5613
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:58:28 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:58:30 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:58:32 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:58:34 +0530] "GET /Online-Retail-Web-app/Adetail/1 HTTP/1.1" 200 5613
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:13 +0530] "GET /Online-Retail-Web-app/Adetail/1 HTTP/1.1" 200 5613
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:31 +0530] "GET /Online-Retail-Web-app/Adetail/1 HTTP/1.1" 200 5658
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:34 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10758
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:38 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:40 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10758
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:42 +0530] "GET /Online-Retail-Web-app/auth HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:48 +0530] "POST /Online-Retail-Web-app/checking HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:48 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:53 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:55 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [12/Apr/2023:10:59:57 +0530] "GET /Online-Retail-Web-app/Adetail/1 HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:00:02 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:00:05 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7280
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:00:08 +0530] "GET /Online-Retail-Web-app/removeitem/ HTTP/1.1" 404 682
